text,heading,chemicals
"This highly relevant result confirmed the hypothesis of the formation of penta-coordinated silicon, with additional DFT studies carried out for the extended model of the “hard” surface. Based on the extended model of the “hard” surface, the results on the formation of pentacoordinate silicon as a result of the adsorption of pentanoic acid anion on the structures of group B were fully confirmed. In addition, the lengths of the coordination bond between the oxygen of the carboxyl group and the surface silicon became significantly smaller (Figure 9) and the values of the bond orders became larger. These results further support the fact that the extension of the surface model led to even more favorable complexes with penta-coordinated silicon. Here it is appropriate to emphasize once again that only structures with penta-coordinated silicon can explain the presence of a band in the region of 1680 cm–1 in the experimental IR spectra of pentanoic acid adsorption.",result and discussion,"silicon, oxygen, carboxyl, pentanoic acid"
"The high-temperature peak III was observed on TPD-MS curves for ions of hexadecyl ketene with m/z 42, 55, 56, 70, 84, 98, 112, and 126 (Figure 10). These peaks describe the formation of ketenes upon desorption of octadecanoic acid fragments. It is known that the most intensive ion in the electron impact ionization (electron bombardment ionization, formerly known as electron impact) mass spectra of ketenes is the ion with m/z 55 [H2C?C?C?O–H]+. (57) Peaks related to the destruction of chemisorbed fragment of acids with formation of ketenes [CH3(CH2)n–(H)C?C?O]+ (for ethanoic acid CH2?C?O) where n = 0–3; 15 occur on the TPD curve of all saturated aliphatic carboxylic acids. The intensity of ions for this homologous series decreases with increasing molecular mass. An increase in hydrophobicity led to the formation of more surface complexes, and more ketenes developed. This result indicates that the pyrolysis pattern of low molecular weight aliphatic carboxylic acids on the silica surface is also typical for heavier acids. Therefore, this reaction seems to be universal and can be used to process plant raw materials, producing oleochemicals and bulk chemicals for organic synthesis.",result and discussion,"hexadecyl ketene, ketenes, octadecanoic acid, ethanoic acid, carboxylic acids, silica"
"Furthermore, data from earlier studies demonstrated that during pyrolysis of carboxylic acids on silica within a homologous series, a direct correlation is present between the maximum acid decomposition temperature with ketene release, and both length and branching of the acid chain. (19,43,58) Specifically, a longer and more branched acid chain corresponds to a higher decomposition temperature. Interestingly, if such a trend is not exclusive to carboxylic acids, this could imply a possibility to extend such patterns to biomass/waste pyrolysis, particularly those with significant triglyceride fatty acid content. However, it is pertinent to note that Libby et al.'s study did not determine a relationship between chain length and activation energy required for ketene evolution.",result and discussion,"carboxylic acids, silica, ketene, acid, triglyceride fatty acid"
"The ratio between peak intensities increases in homologous series, although uncorrelated with the substate’s acidity, since the pKa remains practically constant over the entire range of compounds studied (Table 3). A shift of the ?C?O absorbance band of more than 60 cm–1 to the low-frequency region takes place as compared to that of the monomer (?C?O = 1757 cm–1), and a low perturbation degree of free surface silanols (surface coverage ? ? 0.2) testifies favorably to the formation of the surface-adsorbed complex bonded with a bond stronger than hydrogen. Such additional evidence confirms that the acid adsorption on silica occurs via forming a donor–acceptor complex, i.e., n-electrons of the carbonyl’s oxygen bonds with empty Si d-orbitals, which is more favorable with increasing the aliphatic chain length (62) because this increasing chain length results in increasing electron density on the oxygen atom of the C?O bond. Considering the increase in hydrophobicity, it is observed that the intensity of the ketene peak, observed based on octadecanoic acid, also increases. This correlation suggests that the number of complexes formed on the surface increases with an increase in hydrophobicity. Therefore, the intensity of the ketene peak can serve as an indicator of the enhanced formation of complexes, which is directly related to the hydrophobicity of the system. Probably, it could be associated with complexes formation with the parallel orientation to the surface like on Scheme 1, surface complexes SC IIIa and SC IIIb, because, in this case, the hydrophobicity has a significant impact on the complex stability and, as a result, on their preferable formation on the surface",result and discussion,"silanols, hydrogen, silica, oxygen, ketene, octadecanoic acid"
"The ratio of TPD-peak intensities (decomposition of adsorpted complex to destruction of hydrogen-bonded complex) is linked with the substrate’s hydrophobicity parameter, lgKow, a quantitative measure of the compound’s distribution between aqueous and organic phases from literature data (Table 4). Values of lgKow can be calculated using an additive (atom and group contributions) method, i.e., a molecule is dissected into primary fragments (functional groups or atoms) in which lgKow is known. (60) Basically, the higher the compound’s hydrophobicity, the more positive value of lgKow is. (60,61) Calculations of lgKow values for 2-methyl-propanoic and 2,2-dimethylpropanoic acids were carried out using Hansch and Leo’s compilation (additive method). (60) Indeed, an excellent correlation is observed between the Ich.ad./IH-bond ratio and the hydrophobicity parameter lgKow (Figure 11, Table 4). (60)",result and discussion,"hydrogen, 2-methyl-propanoic, 2,2-dimethylpropanoic acids"
"The measurement of areas in the TPD of silica-supported ethanoic acid is illustrated in Figure S3 (Supporting Information). Similarly, the calculations of adsorbed butanoic (Figure 12) and octadecanoic acids (Figure S4 (Supporting Information)) have been conducted for the curve at m/z 55, i.e., the most intense on ketenes’ thermal desorption curves. There is no peak of hydrogen-bonded acid on TPD-curves of octadecanoic acid, the longest length of the aliphatic chain considered (Figure S4 (Supporting Information)), meaning that the TPD peaks are formed by dimers (complex I) and adsorbed acids.",result and discussion,"silica, ethanoic acid, butanoic, octadecanoic acids, ketenes, hydrogen"
"The semiquantitative data based on TPD areas from the thermolysis of ethanoic, butanoic, and octadecanoic acids are represented in Table 5. It shows that the amount of adsorbed ethanoic and butanoic acids is practically the same, even though the aliphatic chain differs only by two CH2 groups. A significant variation is found between ethanoic and octadecanoic acids, which have a chain length difference of 16 CH2 groups. In a homologous series of carboxylic acids, the amount of acid chemisorbed on the silica surface increases with increasing hydrocarbon chain length; the total amount of chemisorbed acids is formed by 70% octadecanoic acid, 13% butanoic acid, and 14% ethanoic acid.",result and discussion,"ethanoic, butanoic, octadecanoic acids, butanoic acid, ethanoic acid."
"In order to confirm that results for fatty acids could be extended for waste biomass (and can be applied to 2G biomass conversion processes), additional studies of the pyrolysis kinetics of trimyristin and rapeseed meal over silica were subsequently conducted.
A set of ions characteristic of ketene myristic acid, dodecyl ketene, is observed in the mass spectra of volatile pyrolysis products of glycerol myristic (tetradecanoic) acid over silica at temperatures above 250°C (Figure 13A,B). The most intense ion in the mass spectra of ketenes is [H2C?C?C?O–H]+ with m/z 55 and a set of ions with the general formula [H(CH2)n–(H)C?C?O]+, which was observed for ketenes synthesized by catalytic pyrolysis from the homologous series of C1···C10 acids. (19,57) In the case of trimyristin, a set of ions with n = 0···10 is observed: m/z 42, 56, 70, 84, 98, 112, 126, 140, etc., Figure13A,B. At the same time, as the mass of the ion increases, its intensity decreases significantly, especially after m/z 98, and the molecular ion for long-chain ketenes, as a rule, is not observed, for example, for octyl ketene during pyrolysis of decanoic acid. (19,57,63) A peak is observed at Tmax ? 350°C on the TPD curves for these ions. That is, the temperature of the maximum desorption rate and, accordingly, the activation energy of dodecylketene formation (Tmax = 355°C, E?average = 110 kJ·mol–1) is lower than that of hexadecylketene (Tmax = 380°C, E?average = 114.4 kJ·mol–1) in the case of pyrolysis of octadecanoic (stearic) acid (Figure 10, Table 5). This probably indicates that ketene formation occurs due to the transformation of the surface complex of free myristic acid, which is not connected by an ester bond with glycerol (silica is known to effectively hydrolyze ester bonds)",result and discussion,"fatty acids, trimyristin, rapeseed, ketene, myristic acid, dodecyl ketene, glycerol myristic (tetradecanoic) acid, silica, ketenes, dodecylketene, hexadecylketene, octadecanoic (stearic) acid, ketene, glycerol, silica, ester"
"The hydrolysis of dicarboxylic esters, including long-chained aliphatic carboxylic acids with high selectivity and yield at temperatures ?220°C, was carried out by Dyker. (64) Undoubtedly, trimyristin is also hydrolyzed on the surface of silica when heated to ?200°C. As we can see (Figure 13B), low intensity peaks on the TPD curves for ions characteristic of free fatty acids, especially for the most intense ion [H2C?C(OH)2]+ with m/z 60 (65) at a temperature around 100°C, are observed. That indicates the absence of physisorbed and H-bonded forms of the acid (surface complexes I and II, Scheme 1), which were observed for the short-chain and long-chain acids, such as octadecanoic (stearic) (Figures 10 and 12, Table 5). So, hydrolysis mainly occurs during heating, which is absent when triglyceride is loaded on the silica surface. Therefore, triglyceride hydrolysis occurs during heating, forming a surface complex of myristic acid, which is then subjected to ketenization (Scheme 2).",result and discussion,"dicarboxylic esters, carboxylic acids, silica, fatty acids, acid, octadecanoic (stearic), triglyceride, silica, triglyceride, myristic acid"
"Some publications report on the processes of formation of short-chain fatty acids and some unsaturated aromatic and polyaromatic hydrocarbon due to C–C bond cleavage during fast pyrolysis and thermal cracking of triglycerides. (66) However, higher pyrolysis temperatures (750 (30 s) and 450 °C (30 s)), higher heating rates of 800°C/min, cracking at high pressures up to 37 MPa, or various catalysts had to be employed. (66) In our case of pyrolysis on the silica surface, the main process is ketenization. We can monitor if the cracking of triglycerides with C–C bond cleavage and the formation of short-chain acids are evolving by the TPD curve of the most intense characteristic ion with m/z 60 in the mass spectra of carboxylic acids. From the analysis of the behavior of the TPD curve with m/z 60, these processes (if taking place at all) occur at higher temperatures (>400°C). Their contribution to the overall pyrolysis process is minimum since the intensity of the ion m/z 60 contributes with a small percentage as compared to the intensity of the ion with m/z 55, Figure 13B.",result and discussion,"triglycerides, carboxylic acids"
"Silica allowed us to avoid the additional stage of hydrolysis of esters in converting 2G biomass rich in triglycerides and lipids. This has a significant economic benefit to develop waste oil crop biomass pyrolysis technologies?especially biomass from rapeseed crops and soybeans, the two largest oil crops grown worldwide. (67) Rapeseed production reached 29 million tons in 2022. At the same time, the annual production of waste oil crop meal reached 71 million tons. (68) The rapeseed meal is the primary waste produced via oil pressing. Accordingly, this byproduct has a high triglyceride content. However, this type of biomass is different from lignocellulosic biomass, and therefore, for its effective processing, it requires establishing the patterns of pyrolysis of the main components, particularly fatty acids and triglycerides. The lipid content in rapeseed meals reaches 7–10%, while rapeseed seeds contain a high amount of mono- and polyunsaturated fatty acids (around 90%) and low concentrations (6.5–8%) of saturated fatty acids. (69,70)",result and discussion,"esters, triglycerides, lipids, rapeseed, lignocellulosic,fatty acids, rapeseed meals "
"The kinetics of pyrolysis of canola meal depend mainly on its fatty acid composition, comprising ca. 60% (Z)-octadec-9-enoic acid (oleic acid) (C18:1), 10% (9Z,12Z,15Z)-octadeca-9,12,15-trienoic acid (linolenic acid) (C18:3), 24% (9Z,12Z)-octadeca-9,12-dienoic acid (linoleic acid) (C18:3), 4% hexadecanoic acid (palmitic acid) (C16:0), 2% octadecanoic acid (stearic acid) (C18:0), 0.25% tetradecanoic acid (myristic acid) (C14:0), and others. (69) Since almost 95% of the oil consists of acids with a chain length of C18, they will determine the kinetics of canola meal pyrolysis. As can be seen, the temperature of the maximum desorption rate of octadecylketene during pyrolysis of octadecanoic acid (stearic acid) at C18 is about 380 °C, Figure 10, Table 5. That is, this temperature is slightly higher with respect to 370 °C (localization of peaks on TPD curves of the characteristic ions of ketenes with m/z 55, 70, 84, 98, and 112 during the pyrolysis of rapeseed cake, Figure 14, Table 5). This is quite natural since C16:0 palmitic acid, which in rapeseed oil reaches 6%, also contributes to the formation of these peaks on the TPD curves of ketene fragment ions and, as a result, shifts them to a lower temperature. Our previous work (19) showed that the temperature of the maximum rate of ketene desorption increases with an increase in the length of the hydrocarbon chain of the acid. Accordingly, the activation energy of the ketenization reaction on the silica surface increases, Figure 15, Table 5. This is precisely why an increase in activation energy is observed in the following order: trimyristat (Eaverage? = 110 kJ·mol–1) < rapeseed meal (Eaverage? = 112.5 kJ·mol–1) < stearic acid (Eaverage? = 114.4 kJ·mol–1), Table 5.",result and discussion,"fatty acid, (Z)-octadec-9-enoic acid (oleic acid), (9Z,12Z,15Z)-octadeca-9,12,15-trienoic acid (linolenic acid, (9Z,12Z)-octadeca-9,12-dienoic acid (linoleic acid), hexadecanoic acid (palmitic acid) , octadecanoic acid (stearic acid), tetradecanoic acid (myristic acid), octadecylketene, palmitic acid, ketene, hydrocarbon, acid, silica, trimyristat, rapeseed meal, stearic acid"
"In addition, a “structure–reactivity” correlation was found between E? and Taft induction constants of substituents (E? = 109.6 – 13.457 ??*) for the ketenization reaction. On the other hand, in the case of the ketonization reaction over ceria for a homologous series of acids, a correlation between the activation energy and the Taft steric constants of the substituents (E? = 126,84 – 3.096 ?Es*) was revealed. (14) Tmax is the most sensitive characteristic of the effect of substituents on reaction kinetics. In addition, Tmax reproduced in TPD experiments very accurately; because of this, many approximate equations using Tmax were proposed to calculate approximate values of the activation energy, (19,39,71) the reaction parameter po, (19) and the kinetic isotope effect. (3,14) In the spectra of volatile products of rapeseed meal pyrolysis over silica, there are no ions larger than m/z 112 (Figure 14). This is related to the features of fragmentation and ion-molecular reactions of molecular ions of ketenes of unsaturated acids (C18:1, C18:2, and C18:3) under the action of electron impact in the ion source of the mass spectrometer. This feature is due to their structure, particularly double bonds in their molecules, Scheme 3. It is known (72) that the primary way of alkenes fragmentation under electron impact is C–C bond cleavage in the beta position to the double bond, with the formation of allylic fragments, stabilized due to resonance (Scheme 3). In the case of molecular ions of ketenes of unsaturated acids, the predominant channel of transformation of the molecular ion will be C7–C6 bond cleavage with the formation of fragment ion m/z 112 (Scheme 3). The patterns obtained for fatty acids, triglycerides, and rapeseed meal in this work are of practical importance and can be used in the future in the development of sustainable technologies for the conversion of 2G biomass with a high content of triglycerides in the processing of oils/fats production waste and related waste feedstocks",result and discussion,"acids, silica, ketenes, fatty acids, triglycerides, rapeseed meal"
"Thermogravimetric analyses of silica and silica-supported acids were performed by soaking them in CCl4 solutions. The peaks at Tmax = 62 and 100–200°C and a broader peak at the temperature range of 200–500°C were observed on the derivative thermogravimetry (DTG) curve (Figure 16). The first peak is associated with desorption from the silica surface of the physically adsorbed solvent (CCl4) or carboxylic acid dimers. The second one in the temperature region Tmax = 100–200°C would be associated with the decomposition of the hydrogen-bonded acid on the silica surface. The third and fourth peaks are related to the desorption of products from the dehydration and dehydroxylation processes, which take place in the temperate region 200–500°C.",result and discussion,"silica, CCl4, carboxylic acid dimers, hydrogen"
"On previous TPD results, (19) the peak for complex II, Tmax, appears in the temperature region 120–150°C (ethanoic – Tmax = 127°C; butanoic – Tmax = 154 °C) and practically coincides with the peak attributed to complex II on DTG curves. In the same way, the decomposition of complexes III/IV on TPD curves in the temperature range 360–390 °C (62) agrees with the DTG peak (?390°C) regarding the decomposition of complex IV. Therefore, TPD and DTG indicate a few decomposition stages of adsorbed compounds. In contrast, the differences between these techniques are attributed to the presence of oxygen during DTG thermal decomposition.",result and discussion,"ethanoic, butanoic"
"The interaction of linear and branched aliphatic carboxylic acids C1–C6, C18, triglyceride, and rapeseed meal with the fumed silica surface has been studied. Isotherms and physicochemical parameters of short fatty acid C1–C6 adsorption from an aqueous medium were obtained. The formation of different adsorption modes was identified using in situ IR spectroscopy, FTIR, thermogravimetry, TPD-MS, and DFT calculations. The observed adsorption modes are dimers bonded with the surface via van der Waals, hydrogen-bonded complexes, and adsorbed complexes bonded on the surface via the C?O group; their relative abundance and decomposition activation energies were obtained. A correlation between the hydrophobicity parameter lgKo/w and TPD intensities ratio of peaks assigned to decomposing hydrogen-bonded and C?O bonded complexes for studied acids has been obtained. These results indicate the significant contribution of hydrophobic interactions to the binding of fatty acids with silica. Notably, the formation of surface complexes coordinating the carboxyl oxygen and the silicon atom of the surface leads to a penta-coordinated Si atom, as confirmed by DFT simulations using both “soft” and “hard” model of the silica surface. Moreover, it was strongly confirmed on expanded “hard” model calculations through significantly decreasing the bond length between the Si atom and the O atom of acid. Besides fatty acids, two types of surface water were observed in the IR-spectra (?(H–O–H) at ?1640 and ?1615 cm–1), which remained on the surface until all chemisorbed acids were converted into ketenes, indicating the bonding of acids with strained siloxane bridges. Most importantly, these insightful studies support the fact that the established features observed from the ketene formation reaction can also be in principle extended to higher aliphatic acids, triglycerides, and waste biomass. These can pave the way to the design of environmentally safe technologies to process renewable biomass, plant triglycerides, and waste feedstocks into high-value-added products, including fine chemicals and fuels.",conclusion,"aliphatic carboxylic acids, triglyceride, rapeseed, silica, hydrogen, acids, fatty acids, carboxyl oxygen, silicon atom, Si atom, O atom, ketenes, siloxane, aliphatic acids"
Switched “On” Transient Fluorescence Output from a Pulsed-Fuel Molecular Ratchet,title,na
"We report the synthesis and operation of a molecular energy ratchet that transports a crown ether from solution onto a thread, along the axle, over a fluorophore, and off the other end of the thread back into bulk solution, all in response to a single pulse of a chemical fuel (CCl3CO2H). The fluorophore is a pyrene residue whose fluorescence is normally prevented by photoinduced electron transfer (PET) to a nearby N-methyltriazolium group. However, crown ether binding to the N-methyltriazolium site inhibits the PET, switching on pyrene fluorescence under UV irradiation. Each pulse of fuel results in a single ratchet cycle of transient fluorescence (encompassing threading, transport to the N-methyltriazolium site, and then dethreading), with the onset of the fluorescent time period determined by the amount of fuel in each pulse and the end-point determined by the concentration of the reagents for the disulfide exchange reaction. The system provides a potential alternative signaling approach for artificial molecular machines that read symbols from sequence-encoded molecular tapes.",abstract,"CCl3CO2H, N-methyltriazolium, disulfide "
"Biology uses chemically fueled ratcheting (1?7) in numerous metabolic processes, (8) including molecular-level information processing (9?11) and transportation. (12) Chemically powered ratcheting also forms the basis of a number of artificial molecular motors, (13?21) pumps, (20,22?31) and dissipative materials. (2,3,32?37) A molecular energy ratchet (16,29,38?44) was recently reported (43) in which a crown ether (a “reading head” that responds to particular “symbols” encoded on a molecular tape) is pumped from solution onto a molecular strand by a pulse (16,29,45?53) of a chemical fuel. (5) Further fuel pulses transported the macrocycle along the tape before releasing it back to the bulk solution off the other end of the strand. During its directional transport the crown ether changes conformation according to the stereochemistry of binding sites (asymmetric substituted dibenzylammonium (dba-) and N-methyltriazolium (mt-) groups) encountered along the way. (43) This allowed the sequence of stereochemical information programed into the molecular tape (i.e., the order the different binding sites are reached by the directionally transported crown ether) to be read out as a string of digits in a nondestructive manner through a changing circular dichroism response (Figure 1A). (43)",introduction,"crown ether, dibenzylammonium (dba-), N-methyltriazolium (mt-)"
"However, in the first generation (43) tape-reading ratchet the N-methyltriazolium groups are achiral, so there is no stereochemistry for the crown ether to respond to at half of the tape binding sites. Here, we demonstrate a potential alternative output that could be used for artificial molecular machines that read information from molecular tapes: transient fluorescence",introduction,N-methyltriazolium
"A key concept underpinning the new system (Figure 1B) is that the fluorescence of a pyrene residue on the tape should only be “switched on” (55) when a threaded directionally transported crown ether binds to the N-methyltriazolium group adjacent to the fluorophore. Otherwise the pyrene fluorescence is quenched (56?65) by photoinduced electron transfer (PET). To explore the feasibility of such a signaling process, we designed a model with a single digit (“1”) encoded in the molecular tape, as shown in Figures 1B and 2.",introduction,N-methyltriazolium
"An energy ratchet switches between different potential energy surfaces to reverse the relative depths of pairs of energy minima and the relative heights of pairs of energy maxima (Figure 2B). (1,7) This inexorably leads to statistically dictated directional transport without the position of the substrate needing to affect the kinetics of transport. (1,7) In the model energy ratchet (Figure 2A), the molecular thread contains dibenzylamine (green)/dibenzylammonium (blue) and N-methyltriazolium (orange) binding sites for the crown ether. Bulky groups at each end restrict the passage of the ring onto and off of the thread. The bulky hydrazone group (yellow) is acid-labile but kinetically inert under basic conditions; the bulky disulfide (purple) is base-labile but kinetically inert at acidic pH. This enables back-and-forth switching of the pH to cause the crown ether to enter and leave the thread from opposite ends. The system completes one full operational cycle with a single pulse of trichloroacetic acid (CCl3CO2H), a “pulsed fuel” (16,29,43,45?53) that undergoes base-catalyzed decarboxylation, forming CO2 and CHCl3 as the only waste products. (16,29,43,66?68)",introduction,"dibenzylamine, dibenzylammonium, N-methyltriazolium, crown ether, hydrazone, acid, basic, disulfidetrichloroacetic acid, CCl3CO2H, CO2, CHCl3"
"In the presence of Et3N, the pulse of CCl3CO2H synchronizes the state of the molecules in the system by first changing the environment to an acidic pH (temporarily converting the Et3N present to the ammonium carboxylate salt). (16,43) This promotes threading of the crown ether onto the protonated dibenzylammonium site past the labile hydrazone barrier. As the trichloroacetic acid decarboxylates, the pH of the solution becomes basic (the loss of acid liberating the Et3N originally present), and the ammonium group is deprotonated to an amine, which has a low affinity for crown ether binding.",introduction,"Et3N, CCl3CO2H, ammonium, crown ether, dibenzylammonium,hydrazone, trichloroacetic acid, amine"
"Consequently, the macrocycle quickly relocates to the N-methyltriazolium binding site (the local energy minimum) before slowly dethreading over the disulfide barrier (rate-limited by disulfide exchange) back into the bulk solution, which is the global energy minimum state of the system at basic pH.",introduction,N-methyltriazolium
"The final feature of the design is fluorescence readout of the crown ether position provided by incorporating a pyrene residue within the thread (Figure 2). The pyrene fluorescence is quenched by PET to the adjacent N-methyltriazolium group. (58?65) However, when the crown ether binds to the N-methyltriazolium site, the PET is disrupted, and under UV-irradiation centered around 343 nm, the pyrene fluoresces. In this way, the intensity of any fluorescence output can be linked to the position of the macrocycle on the molecular thread.",introduction,"crown ether, N-methyltriazolium"
"Treatment of 1 and 27-crown-9 (27C9) with CF3CO2H (an analog of CCl3CO2H that does not spontaneously decarboxylate) smoothly afforded a [2]rotaxane (as evidenced by 1H NMR spectroscopy and mass spectrometry, see Supporting Information section 4.1) over the course of several days. The rate of threading was limited by slow exchange of the hydrazone barrier, which was easily improved by adding a catalytic amount of aniline. (69) The 1H NMR spectrum of the rotaxane product (Figure 3B) showed substantial shifts in the resonances of protons associated with the dibenzylammonium group (Hb–e) with respect to those in the protonated but unthreaded precursor, 1·H+ (Figure 3A). This confirmed the macrocycle to be situated at the dibenzylammonium site in this form of the rotaxane, i.e., the structure to be dba-2·H+ (the italicized prefix indicates the position of the macrocycle on the axle). Photoirradiation of rotaxane dba-2·H+ at 343 nm showed a weak emission profile with the characteristic shape of pyrene fluorescence (Figure 4, blue line, and Supporting Information section 5.3).",result and discussion,"27-crown-9, CF3CO2H, CCl3CO2H, hydrazone, aniline, dibenzylammonium"
"To transport the macrocycle of the rotaxane from the dba-site to the mt-site, excess triethylamine (Et3N) was added to dba-2·H+ to deprotonate the dibenzylammonium group. 1H NMR spectroscopy of the resulting structure (Figure 3C) showed downfield shifts of 0.7 and 0.2 ppm for Hg and Hh, respectively, compared to 1 (Figure 3D), indicating shuttling of the crown ether to the N-methyltriazolium group (i.e., co–conformation mt-2). In contrast to the protonated rotaxane (dba-2·H+) and the unprotonated but unthreaded axle (1), mt-2 was brightly fluorescent when irradiated at 343 nm (Figure 4, orange line), demonstrating that crown ether binding to the N-methyltriazolium group switched on the fluorescence response of the adjacent pyrene fluorophore.",result and discussion,"triethylamine (Et3N), dibenzylammonium, crown ether, N-methyltriazolium"
"Having demonstrated the stepwise operation of the transiently fluorescent energy ratchet, we initiated the same reaction cycle with a single pulse of CCl3CO2H (Figure 5A). Compound 1, 27C9, Et3N, and the reagents required to exchange hydrazone and disulfide blocking groups at different pHs (3, 4, and 5), were mixed in CD3CN, and a pulse of CCl3CO2H was added (Figure 5A). Within 5 min, the formation of some dba-2·H+ was apparent by 1H NMR spectroscopy (see Supporting Information section 4.3 and Figure S5) and increased to its maximum value over the course of 6 d (days). Upon consumption of the fuel, (16) the pH of the medium became basic and the presence of mt-2 (again, evident from 1H NMR spectroscopy) corresponded with a substantial increase in fluorescence of the solution under irradiation at 343 nm. Over the course of a further 12 h, the magnitude of the fluorescence response decreased, accompanied by the concomitant formation of 1 and 27C9 (Supporting Information section 4.3).",result and discussion,"CCl3CO2H, Et3N, hydrazone, disulfide, CD3CN, CCl3CO2H"
"1, 1·H+, dba-2·H+, and mt-2 all have intense absorption bands centered around 343 nm, which do not overlap with absorption bands of any of the reagents used in the ratcheting operation. The extinction coefficients are similar irrespective of the presence of the macrocycle (see Supporting Information sections 5.1 and 5.4). The fluorescence emission spectra (Figure 4) show that under irradiation at 343 nm, mt-2 has a fluorescence intensity ?10× higher than that of the other states of the ratchet, confirming that macrocycle binding to the N-methyltriazolium site disrupts PET from the pyrene.",result and discussion,N-methyltriazolium
"Fluorescence spectroscopy was then used to analyze both the threading and dethreading steps individually (Figure 5B). For the threading study, aliquots at different time points were collected from a pulsed-fuel reaction mixture, in the absence of 4 and 5 to inhibit dethreading, as the system becomes increasingly basic during decomposition of the CCl3CO2H. After 4 d, the threading process had reached an equilibrium distribution of ?7:3 rotaxane (2):thread (1) (see Supporting Information section 5.6). Disulfide exchange was then initiated by adding a large excess of 4 and 5, leading to rapid dethreading. The release of 1 and 27C9 was accompanied by a decrease in fluorescence intensity down to the original level of the starting materials.",result and discussion,CCl3CO2H
"As disulfide exchange is the rate-limiting step for dethreading of mt-2, the process that switches off fluorescence in the ratcheting cycle, the duration of fluorescence could be varied by changing the concentration of 4 and 5. Similarly, the time available for the threading step and, following that, the onset of fluorescence varies according to the amount of fuel in each pulse (see Supporting Information section 5.7). Together, these two features offer a means of controlling the onset and end-point of transient fluorescence by the molecular ratchet.",result and discussion,disulfide
"The outcome and performance of the ratcheting cycle were reproducible over multiple pulses of fuel (Figure 5C). The use of more rapidly decomposing pulsed-fuel systems, such as CBr3CO2H (70) or the use of polar solvents such as DMSO, (71) could allow for shorter periods for the ratcheting cycle and correspondingly reduced times for reading “switch on” fluorescent symbols encoded on molecular tapes.",result and discussion,"CBr3CO2H, DMSO"
"The pulsed fuel mediated transformation of 1 ? 2 ? 1 is a model energy ratchet cycle that starts with the crown ether being pumped from solution onto the thread. The ring is then directionally transported along the track, where binding to a N-methyltriazolium group transiently switches on fluorescence (?10× increase in intensity) from an adjacent irradiated pyrene fluorophore, before the ring is returned to bulk solution off the other end of the track. The movements of the molecules in the ensemble are synchronized, as the stage of the ratcheting cycle is linked to the pH of the environment. All of this occurs in response to a single pulse of CCl3CO2H. The amount of fuel used in the pulse and of the disulfide exchange reagents can be used to vary both the period of the ratcheting cycle and the duration of the transient fluorescence. This would correspond to the time taken to read each symbol on a molecular tape. In principle, such a system could be used to read the presence or absence of fluorophores at different locations on the tape, each fluorophore only “switched on” for fluorescence output when the directionally transported macrocycle arrives at that position. Digits 0 and 1 could be encoded in sequence by the absence/presence of pyrene, but different fluorophores could also potentially be added (e.g., corresponding to the symbols 2, 3, etc.) to increase the base of digits for information storage. Intriguingly, the fluorophore switch-on system could even be combined with a stereochemistry encoded system (43) to generate molecular tapes where one message could be read through fluorescence and a different message on the same tape could be read through circular dichroism. Such systems are under investigation in our laboratory.",conclusion,"N-methyltriazolium, CCl3CO2H"
Fixing Flavins: Hijacking a Flavin Transferase for Equipping Flavoproteins with a Covalent Flavin Cofactor,title,"Flavins, Flavoproteins "
"Most flavin-dependent enzymes contain a dissociable flavin cofactor. We present a new approach for installing in vivo a covalent bond between a flavin cofactor and its host protein. By using a flavin transferase and carving a flavinylation motif in target proteins, we demonstrate that “dissociable” flavoproteins can be turned into covalent flavoproteins. Specifically, four different flavin mononucleotide-containing proteins were engineered to undergo covalent flavinylation: a light-oxygen-voltage domain protein, a mini singlet oxygen generator, a nitroreductase, and an old yellow enzyme-type ene reductase. Optimizing the flavinylation motif and expression conditions led to the covalent flavinylation of all four flavoproteins. The engineered covalent flavoproteins retained function and often exhibited improved performance, such as higher thermostability or catalytic performance. The crystal structures of the designed covalent flavoproteins confirmed the designed threonyl-phosphate linkage. The targeted flavoproteins differ in fold and function, indicating that this method of introducing a covalent flavin-protein bond is a powerful new method to create flavoproteins that cannot lose their cofactor, boosting their performance.",abstract,"flavin, protein, flavoproteins, oxygen"
